customer_tweet_id,customer_text,brand_response,intent
2309880,my headphones are crackling. Can I get them replaced?,We're here to help. Are these the EarPods that came with your device?,Hardware / Accessories
2012978,can u explain why my phone has been dying every 10 min & is still dead after 3 hrs of charging after getting this new update??,Thank you for reaching out. That is not what we like to hear. Let's work to get this resolved. DM us the device and iOS in use.,Battery
2576920,"once again my phone is dropping battery without being used and also very hot, please advise.",We're glad to look into this with you. Please DM us. Let us know which version of iOS you're using & any steps you've tried.,Battery
2433678,The latest update is worse than before! what is happening my phone is so slow! I want to go back to my previous update,We'd love to help out. Could you Direct Message us and let us know what country you're located in?,Device Performance
2813633,No snapchat update!,We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started.,App Problem
2287752,my screenshots are coming out like this help,"We'd love to help. When did this issue start? What is the current software version installed on your device? Let us know, to assist, and get this working for you again.",Messaging / Photos
2634978,why can’t I share my location? My services are on and it’s telling me it can’t connect to server. It’s been telling me that for days,Thanks for reaching out to us about the location services on your device. We can certainly help. Which device is this happening on & what version of OS is running? Check out this link that has some steps for sharing your location:,Connectivity
1781373,"Pls fix software update 4 iPhone. Update 11.0.1 and 11.0.2 is NIGHTMARE. Battery drains FAST, screen locks, crackling static.WTH?",That's not the experience we want for you. Please send us a DM and tell us more about what's going on with your iPhone.,Software / OS Update
2279256,Hey why is this happening and how can ai fix it?!?! Every time I restart or try to shut down my computer I get this black screen ...,We'd be happy to help out with that. Here are a few questions to help us get the ball rolling. When did this begin? Which model of Mac is this? Try the steps found here and here Let us know the results in DM.,Device Performance
2731427,In social media posts ( but i did a little more reading and it could be the other person hasn’t updated?),"It sounds like you're referring to an issue that's been corrected for the autocorrect predictions in the iOS keyboard. If you're not seeing it in your own keyboard predictions, then you're not having any issue. Read more about it here:",Other / Unclear
2013732,Doesn’t help that ’s new iOS puts the cherry on top of an already shitty af day thanks for the question box of death,Thanks for reaching out. We have a workaround for this here: DM us if you still need help.,Keyboard / Input
1726194,help my keyboard has been hijacked by A ?,Here’s what you can do to work around the issue until it’s fixed in a future software update:,Keyboard / Input
2302716,I️ hate the glitch that turns and I️ into a box/question mark and exclamation mark.,We recently released iOS 11.1.1 that addresses it. Find out more information here: DM us if you're still running into issues after updating.,Keyboard / Input
1387628,"Hi is it possible to buy from a physical UK store and get a product posted? Sadly you have no stock online, only some stores.","We do not ship from the Apple Store, but you are more than welcome to post any item after the sale.",Purchase / Billing / Store
763634,Is there ANY solution to fixing my iPhone 6 battery life? It has become absolute horrible. I can't make it past mid noon...,We'd love to help with your battery life! Which version of iOS are you using under Settings > General > About?,Battery
2675057,"Hey , my “i” button keeps changing into “I️”..... help",We'd love to look into this. Please click here to join us in DM and provide us with the device and software version you're using:,Keyboard / Input
1541131,All solved now. Thank you :),Glad to hear it. Let us know if anything else comes up.,Other / Unclear
2508196,"if I have purchased something online from the apple store online, can I return or exchange In store?? #pleasesayyes",You can return at the Apple Store. Here's information on our return policy:,Purchase / Billing / Store
1546674,excuse me i want to know how delete the monney on my applestore account thx,We'll get you pointed in the right direction. Get in touch with our iTunes Store advisors here:,Purchase / Billing / Store
2034901,Anyone else getting the ? On their iPhone when pressing the letter I️ like in ISLAND? what did you guys do??🙈,Thanks for reaching out. We have a workaround for this here: DM us if you still need help.,Keyboard / Input
1039191,"Received an email saying my AppleID was locked. Seems fine. Looks like a scam? I changed my password, didn’t click on the link",You've come to the right place. Let's take a look together in DM.,Account / Security
872718,why does the iPhone with two speakers only have one that works?! #perplexed,Let's help to get both speakers working for you. Which iPhone do you have & what version of iOS is installed?,Hardware / Accessories
1002947,after 8 attempts asking #Siri when John Lewis closes. How are blind people meant to use your phones #ios11 is full of mistakes,We'd like to look into this with you. DM us and we'll get started.,Apple Services / Media
1413220,Mac Studio KL on 30 Oct 2017,"Thanks for letting us know. For returns and exchanges, we recommend reaching out to where the device was purchased.",Other / Unclear
2213386,": It works for 5 mins on resetting network settings or switching airplane mode on-off, then it again keeps on connecting","Got it. When it stops working, does your iPhone display “Searching” or “No Service”?",Connectivity
1693367,DO SOMETHING,Here’s what you can do to work around the issue until it’s fixed in a future software update:,Other / Unclear
2896116,I’m not sure. I was connected and then I wasn’t. Now I can’t get back on.,Thanks for letting us know. Let's go ahead and restart your iPhone then attempt to connect again. Let us know how it goes.,Connectivity
857127,"11.0.2, now when people call me they can’t hear me and I can’t hear them 😔",We'd like to have you update to iOS 11.0.3. Send us a DM and let us know if the issue persists after. We'll go from there.,Calls / Audio
